nama,kalori_100g,usia_min_bulan,alergen,kelompok_rentan,sumber,saran_konsumsi_sehat,konsumsi_tidak_sehat
pork,242,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Pilih potongan tanpa kulit/lemak, masak panggang/rebus/kukus; konsumsi ikan 2×/minggu.",Daging olahan tinggi natrium atau digoreng garing/berlemak.
potato,77,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Pilih versi utuh, rebus atau panggang; batasi porsi (≈¼ piring).","Digoreng, ditambah mentega/krim berlemak tinggi."
pumpkin,26,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
radish,16,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
raspberry,52,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
rice,365,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Pilih versi utuh, rebus atau panggang; batasi porsi (≈¼ piring).","Digoreng, ditambah mentega/krim berlemak tinggi."
salt,0,12,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; AHA Sodium Guidelines 2023,Batasi total garam <5 g (≈2.000 mg natrium)/hari; gunakan bumbu alami.,Menambah garam meja atau konsumsi makanan ultra‑proses kaya natrium.
shrimp,99,6,YA,Dewasa riwayat alergi shellfish,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; FDA Food Allergens 2024,"Pilih potongan tanpa kulit/lemak, masak panggang/rebus/kukus; konsumsi ikan 2×/minggu.",Daging olahan tinggi natrium atau digoreng garing/berlemak.
small_pepper,40,12,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; NHS Introducing Solid Foods 2018,"Konsumsi moderat, minimal proses.",Konsumsi berlebih atau dimasak dengan banyak gula/garam/lemak.
spring_onion,32,8,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi moderat, minimal proses.",Konsumsi berlebih atau dimasak dengan banyak gula/garam/lemak.
strawberry,32,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
tofu,76,6,YA,Bayi alergi susu sapi / individu alergi kedelai,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; FDA Food Allergens 2024,Rebus/steam sebagai protein nabati; padukan dengan serealia.,Digoreng dalam minyak dan disajikan dengan saus asin/manis berlebih.
tomato,18,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
turmeric,312,12,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
zucchini,17,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
